	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
Depth [m]	1.0	-0.7506516953783797	0.3569889841564813	0.8907026166001107	-0.6303056690891252	-0.6979774214804995	-0.8820468173545151	0.6197176758970833	0.6154453022778249	-0.38190571176439503	0.779180825122084	0.7511274871396695	0.5566310142495176
Temperature [ºC]	-0.7506516953783797	1.0	0.09212226355959063	-0.7011157360704962	0.2880764155534949	0.4321638644644329	0.7894449295946909	-0.39326945468184327	-0.40052573480854753	0.5478685417869534	-0.710553597191498	-0.7318521105896105	-0.7616101982725917
Salinity [PSU]	0.3569889841564813	0.09212226355959063	1.0	0.5435541351452957	-0.7139936580056192	-0.6120361506349681	-0.2680087034189062	0.5634394901471891	0.45078984132408706	0.2207685670096321	0.29485610175731336	0.21468258623367292	-0.24939018964776447
Density [kg/m3]	0.8907026166001107	-0.7011157360704962	0.5435541351452957	1.0	-0.701875689921357	-0.7559608130635258	-0.8181352042264831	0.709219175311637	0.629260042668311	-0.25591786014190177	0.8196251470370121	0.7817222133566561	0.5165774762475621
Oxygen [ml/l]	-0.6303056690891252	0.2880764155534949	-0.7139936580056192	-0.701875689921357	1.0	0.97012538131076	0.5309801884432527	-0.8673051575353815	-0.8145642031618082	0.007167717737422313	-0.6646121787047773	-0.5882598801572709	-0.042521844205598486
Oxygen [%]	-0.6979774214804995	0.4321638644644329	-0.6120361506349681	-0.7559608130635258	0.97012538131076	1.0	0.601362410645953	-0.8744044966917438	-0.8431872462383568	0.05203901591039578	-0.7146520698779008	-0.642473728206353	-0.1561116435152751
Fluorescence [mg/m3]	-0.8820468173545151	0.7894449295946909	-0.2680087034189062	-0.8181352042264831	0.5309801884432527	0.601362410645953	1.0	-0.49916406931115215	-0.49501616249733227	0.5554769349101844	-0.7258553143821136	-0.7119987520974825	-0.592269748262668
Orthophosphate [uM]	0.6197176758970833	-0.39326945468184327	0.5634394901471891	0.709219175311637	-0.8673051575353815	-0.8744044966917438	-0.49916406931115215	1.0	0.9114076157376821	-0.04584637369423001	0.8246860984763704	0.7701676253787473	0.17245185766286533
Silicic-acid [uM]	0.6154453022778249	-0.40052573480854753	0.45078984132408706	0.629260042668311	-0.8145642031618082	-0.8431872462383568	-0.49501616249733227	0.9114076157376821	1.0	-0.09811578771447714	0.7535597587179381	0.6854281108192023	0.16397977065922928
Nitrite [uM]	-0.38190571176439503	0.5478685417869534	0.2207685670096321	-0.25591786014190177	0.007167717737422313	0.05203901591039578	0.5554769349101844	-0.04584637369423001	-0.09811578771447714	1.0	-0.39824834620916166	-0.4613051261225044	-0.5040328125747444
Nitrates [uM]	0.779180825122084	-0.710553597191498	0.29485610175731336	0.8196251470370121	-0.6646121787047773	-0.7146520698779008	-0.7258553143821136	0.8246860984763704	0.7535597587179381	-0.39824834620916166	1.0	0.9891225655649984	0.6219576455000607
Nitrate [uM]	0.7511274871396695	-0.7318521105896105	0.21468258623367292	0.7817222133566561	-0.5882598801572709	-0.642473728206353	-0.7119987520974825	0.7701676253787473	0.6854281108192023	-0.4613051261225044	0.9891225655649984	1.0	0.6732704599697427
NP ratio	0.5566310142495176	-0.7616101982725917	-0.24939018964776447	0.5165774762475621	-0.042521844205598486	-0.1561116435152751	-0.592269748262668	0.17245185766286533	0.16397977065922928	-0.5040328125747444	0.6219576455000607	0.6732704599697427	1.0
